"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"GBMT",2,0.427590713045451,181.612360558909,21502.3359036537,NA,33.4992871284485,"SCE2","MICE-CS",1
"GBMT",3,0.265856836309758,172.315766806068,20055.8933230283,NA,56.2121641635895,"SCE2","MICE-CS",1
"GBMT",4,0.300403134267369,123.731986905706,19444.8782836492,NA,150.069221258163,"SCE2","MICE-CS",1
"GBMT",5,0.233053140731112,99.9728633062459,18770.2745360616,NA,250.677993774414,"SCE2","MICE-CS",1
"KML3D",2,0.183406801007557,246.226042613753,NA,NA,0.267863512039185,"SCE2","MICE-CS",1
"KML3D",3,0.297951742934605,195.5981314183,NA,NA,0.220146894454956,"SCE2","MICE-CS",1
"KML3D",4,0.243803927314197,154.270944647509,NA,NA,0.253403902053833,"SCE2","MICE-CS",1
"KML3D",5,0.211482675829244,129.324637899738,NA,NA,0.325088977813721,"SCE2","MICE-CS",1
"flexmix",2,0.427594740014853,197.31842913679,23850.5795893175,NA,0.187834501266479,"SCE2","MICE-CS",1
"flexmix",3,0.269744881487464,171.841615930696,21630.9693081108,NA,0.150406360626221,"SCE2","MICE-CS",1
"flexmix",4,0.216120765357021,126.421086082027,20719.8085941208,NA,1.26352334022522,"SCE2","MICE-CS",1
"flexmix",5,0.17502692134025,115.592084989043,20272.3771953515,NA,0.744208097457886,"SCE2","MICE-CS",1
"LCMM",2,0.0316048966519879,186.194468291505,24643.7075887563,NA,20.3629240989685,"SCE2","MICE-CS",1
"LCMM",3,0.0391330523780855,193.953792856377,24655.6905178599,NA,26.3662796020508,"SCE2","MICE-CS",1
"LCMM",4,0.0566012741308091,206.951962999572,24667.6734469436,NA,52.6416430473328,"SCE2","MICE-CS",1
"LCMM",5,0.0772862683379236,216.904041654315,24679.6563760378,NA,634.168055534363,"SCE2","MICE-CS",1
"GBMT",2,0.773840041546476,132.747699765939,235687.629680171,NA,22.3898684978485,"SCE3","MICE-CS",1
"GBMT",3,0.578183093219276,96.0391890365387,226140.018268827,NA,79.5022504329681,"SCE3","MICE-CS",1
"GBMT",4,0.513638932677259,50.5512952735236,225728.853812564,NA,72.3163151741028,"SCE3","MICE-CS",1
"GBMT",5,0.350080342849832,46.7221155669753,218161.623188404,NA,112.309488773346,"SCE3","MICE-CS",1
"KML3D",2,0.128310161200935,90.1396077530085,NA,NA,0.389262676239014,"SCE3","MICE-CS",1
"KML3D",3,0.179352163761936,78.6107546386241,NA,NA,0.519469738006592,"SCE3","MICE-CS",1
"KML3D",4,0.253558696884013,66.0832867614882,NA,NA,0.668106317520142,"SCE3","MICE-CS",1
"KML3D",5,0.202560113751549,62.3840725542537,NA,NA,0.726597785949707,"SCE3","MICE-CS",1
"flexmix",2,0.591877135678392,131.830121650783,243285.91297589,NA,0.331099033355713,"SCE3","MICE-CS",1
"flexmix",3,0.413712123650291,103.535596959683,234495.067737948,NA,0.709781169891357,"SCE3","MICE-CS",1
"flexmix",4,0.3268979949194,68.7007742170404,232058.592752311,NA,2.115309715271,"SCE3","MICE-CS",1
