"scenario","sim_method","cluster_method","k","n_seeds","ARI_mean","ARI_sd","ARI_se","CHI_mean","CHI_sd","CHI_se","BIC_mean","BIC_sd","PED_mean","PED_sd","Runtime_mean"
"SCE2","eCDF-Copula","LCMM",5,9,0.174291912304664,0.0966312340041544,0.0322104113347181,212.198591403721,34.8804984407878,11.6268328135959,24456.9476034684,559.858343005584,NA,NA,218.461916950014
"SCE2","eCDF-Copula","flexmix",2,9,0.409414619241641,0.0682097307059602,0.0227365769019867,221.504746497999,22.7815232131276,7.59384107104254,23273.6121469991,625.996072882168,NA,NA,0.137840456432766
"SCE2","eCDF-Copula","flexmix",3,9,0.285865237684108,0.0724134247500088,0.0241378082500029,180.315952262041,30.9465736617855,10.3155245539285,21317.9950236612,986.013067708126,NA,NA,0.302534500757853
"SCE2","eCDF-Copula","flexmix",4,9,0.218795854785583,0.0353093754231498,0.0117697918077166,147.119644790428,15.8186854021976,5.27289513406585,20175.8054410053,704.237743778071,NA,NA,0.624725447760688
"SCE2","eCDF-Copula","flexmix",5,9,0.199204891368034,0.0283564583011944,0.00945215276706479,127.815056166249,13.7646439204723,4.58821464015745,19729.1408882529,704.220678582984,NA,NA,0.64066399468316
"SCE2","eCDF-Copula","mixAK",2,10,0.341167366333845,0.0678884166462588,0.0214682023344667,240.546669450821,26.8369507846499,8.48658899333365,NA,NA,26471.2107417695,431.19245893089,23.546474981308
"SCE2","eCDF-Copula","mixAK",3,10,0.276824867681702,0.0516984568966686,0.0163484875309513,168.411220605733,15.8739286165826,5.01977698433267,NA,NA,26456.6088623799,435.692409393675,30.8831012964249
"SCE2","eCDF-Copula","mixAK",4,10,0.240416561509309,0.0457561147362829,0.0144693539446649,129.570798520991,24.2162252505244,7.65784281233386,NA,NA,27249.0057239213,701.641376128381,38.3863666057587
"SCE2","eCDF-Copula","mixAK",5,10,0.210734276080302,0.0330146814130393,0.010440158949003,109.443264428455,6.77228045340667,2.14158311862029,NA,NA,27219.2939172617,584.097455594647,46.5256657838821
"SCE3","CC","GBMT",2,10,0.926749467029185,0.0465221227828977,0.0147115869579968,89.3897806607988,7.67203116944305,2.42610927752452,244588.82837017,1463.1277055824,NA,NA,30.0676636219025
"SCE3","CC","GBMT",3,10,0.718646048393937,0.0303214901702231,0.00958849709883115,67.3910808478006,10.5369279683635,3.33206919211592,237769.097694586,1893.7205474634,NA,NA,81.2912323951721
"SCE3","CC","GBMT",4,10,0.569595677010035,0.074016005740115,0.023405916144686,47.9009314688685,3.58561448015252,1.13387085685626,232997.069069321,2945.23097482727,NA,NA,102.377083921432
"SCE3","CC","GBMT",5,10,0.534382705472884,0.0822278122611474,0.0260027173757946,36.2422503452933,2.84643495573022,0.900121767162806,231632.147327224,2299.21221647954,NA,NA,120.49946835041
"SCE3","CC","KML3D",2,10,0.286967610459876,0.180252288529877,0.0570007785212255,81.460380580532,19.092015692579,6.03742547122266,NA,NA,NA,NA,0.46772620677948
"SCE3","CC","KML3D",3,10,0.32580977609142,0.120765049684584,0.0381892618746684,68.1621150916065,9.89830231972368,3.1301180299255,NA,NA,NA,NA,0.569345617294312
"SCE3","CC","KML3D",4,10,0.344269852556782,0.149509571286415,0.0472790777260383,59.3459298957773,6.49958936597088,2.05535062522777,NA,NA,NA,NA,0.702267551422119
"SCE3","CC","KML3D",5,10,0.237962005737768,0.0992664144057904,0.0313907964680448,54.5805939585265,6.21096596361049,1.96407989147916,NA,NA,NA,NA,0.795754146575928
"SCE3","CC","flexmix",2,10,0.567153704613833,0.096749790975115,0.0305949702626566,83.5289512702906,7.83906774510708,2.47893088068986,264877.196611562,2274.6076223474,NA,NA,0.477889275550842
"SCE3","CC","flexmix",3,10,0.502823459545351,0.0812309629211525,0.0256874859359526,61.086546543031,3.91552104343299,1.23819647235673,252983.618928885,2123.14665764078,NA,NA,1.41972596645355
"SCE3","CC","flexmix",4,10,0.405895029706478,0.073193446978701,0.0231458002251465,56.3190046444767,4.54209093389404,1.43633526907064,247542.109050058,2233.65830594697,NA,NA,1.80503778457642
"SCE3","CC","flexmix",5,10,0.376959619738639,0.0466682509918882,0.0147577967550779,51.4018954110837,5.05336576791551,1.59801456765388,244918.641018014,1555.66890695547,NA,NA,1.87769467830658
"SCE3","CC","mixAK",2,10,0.883755085190945,0.0418444911234749,0.0132323899480879,92.5355062362704,6.45329923288236,2.04071239985256,NA,NA,254933.31939556,598.430533091136,198.599468231201
"SCE3","CC","mixAK",3,10,0.781328999520392,0.0607510549657393,0.0192111703949819,59.7082898907441,5.75219602790208,1.81900409959441,NA,NA,268367.26347568,25350.4999481717,276.87833738327
"SCE3","CC","mixAK",4,10,0.290560687957533,0.0647124935295079,0.0204638872622154,46.1295086820425,12.0027440651197,3.79560094178465,NA,NA,309320.067870912,25616.9501007575,356.530049753189
"SCE3","CC","mixAK",5,10,0.330146363391394,0.129114775409252,0.0408296769874334,43.1289555455377,10.1737508294947,3.21722249682306,NA,NA,298300.471692716,1665.07417989034,435.587399959564
"SCE3","LME-F","GBMT",2,10,0.313163919145415,0.0946508908965749,0.0299312397797274,149.555941232423,19.396469101908,6.13370209271099,285107.694801685,2779.2994979948,NA,NA,47.37040579319
"SCE3","LME-F","GBMT",3,10,0.26948959749,0.0594727938308205,0.0188069487319003,101.128814762437,22.0284228348484,6.96599894193842,272805.95440405,2574.97351610289,NA,NA,98.2131406545639
"SCE3","LME-F","GBMT",4,10,0.242356237101274,0.0295591130037843,0.00934741227062596,75.9554264272484,13.3713617805561,4.22839586446817,267245.745651004,3183.02789925641,NA,NA,148.472662043572
"SCE3","LME-F","GBMT",5,10,0.218542996014575,0.0652102710778791,0.0206212983443101,51.632821905543,8.84401008551416,2.79672155197253,264399.345928671,3133.09999513656,NA,NA,166.000854444504
"SCE3","LME-F","KML3D",2,10,0.145170005451574,0.143476043466878,0.0453711087024655,106.259198691053,62.2689442425267,19.6911691300412,NA,NA,NA,NA,0.462784123420715
